"lane","file","line","control_type","control_id","text_expr","placeholder_expr","handlers","status","likely_placeholder"
"Unclassified","src\qml\components\DocketActivityReportPanel.qml","508","ModernTextField","fromDateInput","root.fromDateText","","onEditingFinished, onTextChanged","wired","False"
"Unclassified","src\qml\components\DocketActivityReportPanel.qml","520","ModernTextField","toDateInput","root.toDateText","","onEditingFinished, onTextChanged","wired","False"
"Unclassified","src\qml\components\DocketActivityReportPanel.qml","534","ModernComboBox","statusModeCombo","","","onActivated, onEditTextChanged","wired","False"
"Unclassified","src\qml\components\DocketActivityReportPanel.qml","555","ModernTextField","searchInput","root.queryText","","onEditingFinished, onTextChanged","wired","False"
"Unclassified","src\qml\components\DocketActivityReportPanel.qml","567","ModernComboBox","clientFilterCombo","","","onActivated, onEditTextChanged","wired","False"
"Unclassified","src\qml\components\DocketActivityReportPanel.qml","583","ModernComboBox","matterFilterCombo","","","onActivated, onEditTextChanged","wired","False"
"Unclassified","src\qml\components\DocketActivityReportPanel.qml","599","PillButton","","""Clear""","","onClicked","wired","False"
"Unclassified","src\qml\components\DocketActivityReportPanel.qml","615","PillButton","","""Today""","","onClicked","wired","False"
"Unclassified","src\qml\components\DocketActivityReportPanel.qml","629","PillButton","","""This Week""","","onClicked","wired","False"
"Unclassified","src\qml\components\DocketActivityReportPanel.qml","643","PillButton","","""This Month""","","onClicked","wired","False"
"Unclassified","src\qml\components\DocketActivityReportPanel.qml","657","PillButton","","""This Year""","","onClicked","wired","False"
"Unclassified","src\qml\components\DocketActivityReportPanel.qml","673","PillButton","","root.busy ? ""Loading..."" : ""Run Report""","","onClicked","wired","False"
"Unclassified","src\qml\components\DocketActivityReportPanel.qml","685","PillButton","","""Export CSV""","","onClicked","wired","False"
"Unclassified","src\qml\components\DocketActivityReportPanel.qml","746","MouseArea","","","","onClicked","wired","False"
"Unclassified","src\qml\components\DocketActivityReportPanel.qml","763","MouseArea","","","","onClicked","wired","False"
"Unclassified","src\qml\components\DocketActivityReportPanel.qml","780","MouseArea","","","","onClicked","wired","False"
"Unclassified","src\qml\components\DocketActivityReportPanel.qml","809","MouseArea","","","","onClicked","wired","False"
"Unclassified","src\qml\components\DocketActivityReportPanel.qml","828","MouseArea","","","","onClicked","wired","False"
"Unclassified","src\qml\components\JellyCalendar.qml","303","Button","","""<""","","onClicked","wired","False"
"Unclassified","src\qml\components\JellyCalendar.qml","345","MouseArea","","","","onDoubleClicked","wired","False"
"Unclassified","src\qml\components\JellyCalendar.qml","367","MouseArea","","","","onDoubleClicked","wired","False"
"Unclassified","src\qml\components\JellyCalendar.qml","380","Button","",""">""","","onClicked","wired","False"
"Unclassified","src\qml\components\JellyCalendar.qml","401","Button","closeBtn","""\u00D7""","","onClicked","wired","False"
"Unclassified","src\qml\components\JellyCalendar.qml","505","MouseArea","","","","onClicked, onDoubleClicked","wired","False"
"Unclassified","src\qml\components\JellyCalendar.qml","619","MouseArea","","","","onClicked","wired","False"
"Unclassified","src\qml\components\JellyCalendar.qml","714","MouseArea","","","","onClicked","wired","False"
"Unclassified","src\qml\components\LaunchpadTuner.qml","51","MouseArea","","","","onPressed","wired","False"
"Unclassified","src\qml\components\LaunchpadTuner.qml","86","MouseArea","closeMouse","","","onClicked","wired","False"
"Unclassified","src\qml\components\LaunchpadTuner.qml","113","Button","","","","","unwired","False"
"Unclassified","src\qml\components\LaunchpadTuner.qml","114","Button","","","","","unwired","False"
"Unclassified","src\qml\components\LaunchpadTuner.qml","129","Button","","","","","unwired","False"
"Unclassified","src\qml\components\LaunchpadTuner.qml","130","Button","","","","","unwired","False"
"Unclassified","src\qml\components\LaunchpadTuner.qml","139","Button","","""RESET APP"";","","onClicked","wired","False"
"Unclassified","src\qml\components\LaunchpadTuner.qml","151","Button","","""LAUNCH ►"";","","onClicked","wired","False"
"Unclassified","src\qml\components\ModernComboBox.qml","5","ComboBox","control","control.editText","","onArrowColorChanged, onHeightChanged, onPaint, onTextChanged, onWidthChanged","wired","False"
"Unclassified","src\qml\components\ModernTextField.qml","5","TextField","control","","""""","","unwired","False"
"Unclassified","src\qml\components\PillButton.qml","5","Button","control","""Button""","","onHoveredChanged","wired","False"
"Unclassified","src\qml\components\PillCombo.qml","66","ComboBox","combo","combo.editText","","onActivated, onEditTextChanged, onTextEdited","wired","False"
"Unclassified","src\qml\components\PillTextField.qml","64","TextField","field","","root.placeholderText","onTextEdited","placeholder","True"
"Unclassified","src\qml\components\ThemePicker.qml","198","MouseArea","ma","","","onClicked","wired","False"
"Unclassified","src\qml\components\ThemePicker.qml","229","MouseArea","","","","onClicked","wired","False"
"Unclassified","src\qml\components\TileButton.qml","5","Button","b","b.text","","","unwired","False"
"Unclassified","src\qml\components\TileCard.qml","132","MouseArea","ma","","","onClicked","wired","False"
"Unclassified","src\qml\components\TitleBarButton.qml","4","Button","control","","","","unwired","False"
"Window Shell","src\qml\DetachedShellWindow.qml","6666","MouseArea","","","","onEntered","wired","False"
"Window Shell","src\qml\DetachedShellWindow.qml","6892","MouseArea","","","","onCanceled, onPositionChanged, onPressed, onReleased","wired","False"
"Window Shell","src\qml\DetachedShellWindow.qml","6908","MouseArea","","","","onCanceled, onPositionChanged, onPressed, onReleased","wired","False"
"Window Shell","src\qml\DetachedShellWindow.qml","6924","MouseArea","","","","onCanceled, onPositionChanged, onPressed, onReleased","wired","False"
"Window Shell","src\qml\DetachedShellWindow.qml","6940","MouseArea","","","","onCanceled, onPositionChanged, onPressed, onReleased","wired","False"
"Window Shell","src\qml\DetachedShellWindow.qml","6956","MouseArea","","","","onCanceled, onPositionChanged, onPressed, onReleased","wired","False"
"Window Shell","src\qml\DetachedShellWindow.qml","6972","MouseArea","","","","onCanceled, onPositionChanged, onPressed, onReleased","wired","False"
"Window Shell","src\qml\DetachedShellWindow.qml","6988","MouseArea","","","","onCanceled, onPositionChanged, onPressed, onReleased","wired","False"
"Window Shell","src\qml\DetachedShellWindow.qml","7004","MouseArea","","","","onCanceled, onPositionChanged, onPressed, onReleased","wired","False"
"Window Shell","src\qml\DetachedShellWindow.qml","7037","MouseArea","","","","onCanceled, onPositionChanged, onPressed, onReleased","wired","False"
"Window Shell","src\qml\DetachedShellWindow.qml","7589","MouseArea","","","","onClicked, onPressed","wired","False"
"Window Shell","src\qml\DetachedShellWindow.qml","7768","MouseArea","rowMouse","","","onClicked","wired","False"
"Window Shell","src\qml\DetachedShellWindow.qml","7798","PillButton","reviewWindowsButton","""Review Windows""","","onClicked","wired","False"
"Window Shell","src\qml\DetachedShellWindow.qml","7831","PillButton","saveAllExitButton","""Save All and Exit""","","onClicked","wired","False"
"Window Shell","src\qml\DetachedShellWindow.qml","7864","PillButton","exitWithoutSavingButton","""Exit Without Saving""","","onClicked","wired","False"
"Window Shell","src\qml\DetachedShellWindow.qml","7903","MouseArea","","","","onClicked, onPressed","wired","False"
"Window Shell","src\qml\DetachedShellWindow.qml","8091","PillButton","recoverWindowsButton","""Reopen Windows""","","onClicked","wired","False"
