CategoryCode,CategoryName,Type,ClassScope,TaxFlagDefault,BillableAllowed,MedicalEligible,DeductibleEligible,BusinessDeductibleEligible,Active,SortOrder,Notes
INC_SALARY,Salary,Income,Family,None,0,0,0,0,1,100,Employment income
INC_BONUS,Bonus,Income,Family,None,0,0,0,0,1,101,Employment bonus
INC_CONTRACT_REVENUE,Contract Revenue,Income,Business,HST - Biz,0,0,0,0,1,102,General contract billing
INC_OT_PRIVATE_BILLINGS,OT Private Billings,Income,Business,HST - Biz,0,0,0,0,1,103,Deborah private OT revenue
INC_OT_VHA_BILLINGS,OT VHA Billings,Income,Business,HST - Biz,0,0,0,0,1,104,Deborah VHA revenue
INC_LEGAL_FEES,Legal Fees Revenue,Income,Business,HST - Biz,0,0,0,0,1,105,Cory legal practice revenue
INC_RETAINER_RECEIPTS,Retainer Receipts,Income,Business,HST - Biz,0,0,0,0,1,106,Client retainer funds received
INC_REIMBURSEMENT_NON_TAXABLE,Reimbursement Non-Taxable,Income,Both,None,0,0,0,0,1,107,Repaid out-of-pocket cost
INC_INTEREST_BANK,Bank Interest,Income,Both,None,0,0,0,0,1,108,Interest income
INC_INTEREST_INVESTMENT,Investment Interest,Income,Both,None,0,0,0,0,1,109,Investment interest
INC_DIVIDENDS,Dividends,Income,Both,None,0,0,0,0,1,110,Dividend income
INC_CAPITAL_GAINS,Capital Gains,Income,Both,None,0,0,0,0,1,111,Capital gain proceeds
INC_RENTAL_INCOME,Rental Income,Income,Family,None,0,0,0,0,1,112,Rental property income
INC_CASHBACK_REBATE,Cashback Rebate,Income,Both,None,0,0,0,0,1,113,Credit card or account cashback
INC_TAX_REFUND,Tax Refund,Income,Both,None,0,0,0,0,1,114,Income tax refund
INC_GOVERNMENT_BENEFIT,Government Benefit,Income,Family,None,0,0,0,0,1,115,Government support income
INC_CHILD_BENEFIT,Child Benefit,Income,Family,None,0,0,0,0,1,116,Canada child benefit
INC_GST_HST_CREDIT,GST HST Credit,Income,Family,None,0,0,0,0,1,117,Tax credit income
INC_INSURANCE_PROCEEDS,Insurance Proceeds,Income,Both,None,0,0,0,0,1,118,Insurance payout
INC_GIFT_RECEIVED,Gift Received,Income,Family,None,0,0,0,0,1,119,Gifts received
INC_LOAN_PROCEEDS,Loan Proceeds,Income,Both,None,0,0,0,0,1,120,Loan drawdown
